level,minx,miny,maxx,maxy
3,106.70531250040467,10.817333799819865,106.74384853835654,10.853582259222538
2,106.70855239963811,10.832936500012728,106.71753070012346,10.83931269998197
1,106.7130090193474,10.83565060012871,106.71753070012346,10.83931269998197
0,106.71672835124116,10.837460399677047,106.71750862049224,10.838934300152953
0,106.71666561435761,10.836857499644292,106.71735728324474,10.838584430875379
0,106.7132667314161,10.83707400670037,106.71398520038409,10.837588199868291
0,106.71392560023314,10.835827899651276,106.71493820021743,10.837647299555622
0,106.71392358590684,10.837483963241379,106.71510820352874,10.838399582027272
0,106.71556920038209,10.836843999917345,106.71677336256991,10.83931269998197
0,106.71482734393621,10.83565060012871,106.7155972393061,10.837397199856186
0,106.71544630005295,10.835925299995193,106.71753070012346,10.837093599713139
0,106.7130090193474,10.835967899816294,106.71389882057916,10.837157499727686
1,106.71102753317997,10.833075300345765,106.71318900045895,10.837523099901631
0,106.71174669979145,10.833075300345765,106.71283750771096,10.83581079966829
0,106.71201549977363,10.836251499565698,106.71303547020949,10.837377400086122
0,106.71111220242679,10.836434999749033,106.71201549977363,10.837523099901631
0,106.71105148882575,10.835579325411507,106.71318900045895,10.836592600166977
0,106.71102753317997,10.834930900447777,106.71174669979145,10.835816476102876
1,106.70855239963811,10.834587900053396,106.71122150009725,10.837752567660358
0,106.70904757959276,10.835619184967797,106.71040018979566,10.836338897594834
0,106.70974390006619,10.835868776528608,106.71112979997069,10.836660717458138
0,106.71013280039637,10.836458700056507,106.71112984928722,10.837752567660358
0,106.71039150044312,10.835282800029148,106.71102753317997,10.83591939982054
0,106.70986779970426,10.834596800344885,106.71122150009725,10.835282800029148
0,106.70956602343095,10.83654110015491,106.71017300517391,10.837443227995147
0,106.70904757959276,10.834587900053396,106.70986779970426,10.835792298102602
0,106.70877560031981,10.835792298102602,106.70905332046945,10.836385700088574
0,106.70855239963811,10.836338897594834,106.70974390006619,10.83702319960209
1,106.713280450428,10.832936500012728,106.71728339963607,10.836175600102061
0,106.71605700240623,10.833657115546997,106.71728339963607,10.834357299898901
0,106.713280450428,10.833206199935402,106.71406999978318,10.836175600102061
0,106.71513924677947,10.833920900288993,106.71605835026293,10.834480900188746
0,106.71400860199196,10.833942984780423,106.7154059000818,10.835243881220736
0,106.7151062871147,10.83305656004957,106.71605452571966,10.834142443847304
0,106.71394200022151,10.835101299861664,106.71538910036223,10.836140300323184
0,106.71528649973438,10.834664599787217,106.71704729993273,10.836025448834222
0,106.71596599081467,10.834342175965597,106.71711290017858,10.834780907583873
0,106.71406999978318,10.833076799638048,106.7151062871147,10.833942984780423
0,106.7160496998121,10.832936500012728,106.71695800024956,10.833657115546997
2,106.72236061195873,10.829168902786911,106.73272997598504,10.839305971640634
1,106.72901939988314,10.829359100082858,106.73272997598504,10.833141807005154
0,106.73142536577504,10.829359100082858,106.73258699982004,10.830426699901732
0,106.72989220862532,10.832723800238055,106.73093187331024,10.833141807005154
0,106.73091093331354,10.830638800310359,106.73272997598504,10.831910600028651
0,106.73067319998903,10.829998699992267,106.73187520009188,10.830666800028919
0,106.73037750011183,10.83043270014165,106.73067319998903,10.831498199656771
0,106.73013660006939,10.831328899831497,106.73114079959427,10.832723800238055
0,106.72901939988314,10.829586900155382,106.73052920028623,10.831950901960615
1,106.72559829965037,10.835487299949193,106.72927019991221,10.839305971640634
0,106.7262749997489,10.836555360866507,106.72927019991221,10.838312116574448
0,106.7278558987801,10.83737996625932,106.72919585697127,10.839230772891296
0,106.72664970036458,10.835487299949193,106.72892836206505,10.836300299567537
0,106.726464728529,10.83619260002475,106.72879712900169,10.83661098844342
0,106.72701831002381,10.837176427197484,106.72787760029637,10.839305971640634
0,106.72725599473551,10.836300299567537,106.7276081000483,10.837176427197484
0,106.72559829965037,10.83693458595321,106.72725599473551,10.838388181160129
1,106.72831630028344,10.836598499789456,106.73245450041725,10.838732350146227
0,106.73019014614238,10.836734825995112,106.73070626210615,10.8378087997726
0,106.7296577999162,10.8378087997726,106.73044479967498,10.838436205211188
0,106.72897135026967,10.836600799628066,106.72974070266177,10.837581260233305
0,106.72935340023272,10.837792299829665,106.7298330995831,10.838732350146227
0,106.72833658209292,10.837463712879893,106.72942886759013,10.838344517338529
0,106.7303955997745,10.836738620166233,106.73245450041725,10.838615924614363
0,106.7296577999162,10.837084762261151,106.73023881792805,10.837870847096912
0,106.72831630028344,10.836598499789456,106.72900671887186,10.837412999756774
1,106.7270812541624,10.831676267859958,106.73265754973644,10.837615169870354
0,106.73090500041742,10.831751700394243,106.73260520001982,10.833408961270454
0,106.72943721835054,10.833481000414027,106.7307279609031,10.835113803101118
0,106.7270812541624,10.833106531169387,106.73265754973644,10.837615169870354
0,106.72866689984176,10.834107407319685,106.73042089955891,10.837088640489114
0,106.7293246001032,10.833124084717245,106.73080802448432,10.833857966137844
0,106.7296013002827,10.833220974204659,106.73093760021581,10.833554902982002
0,106.73090520036217,10.834690199896729,106.73217670004968,10.83568319955113
0,106.72722316328198,10.831676267859958,106.7293246001032,10.835547827066005
0,106.72917279966784,10.831950901960615,106.72976909978841,10.833494600189328
1,106.7251649247708,10.831334900421888,106.72900869834903,10.835743002721731
0,106.72831329165516,10.832479944006312,106.72900869834903,10.834107407319685
0,106.72779435451979,10.831334900421888,106.72899699977513,10.83248302937419
0,106.72766453522593,10.83509822229955,106.72877306026305,10.835743002721731
0,106.72690689996786,10.83247759982088,106.7284185131975,10.83405167620409
0,106.72692207526158,10.83405167620409,106.72866689984176,10.83511382731599
0,106.7258471460669,10.8350546996381,106.72722316328198,10.835652770834285
0,106.72552049986656,10.833282100141966,106.72692207526158,10.834970299732932
0,106.7251649247708,10.831339624079163,106.72779435451979,10.833840252152005
1,106.72363435187073,10.831378817042413,106.72585189972659,10.835971999966944
0,106.72514085814838,10.834970299732932,106.72585189972659,10.835698699919739
0,106.72363435187073,10.834133450713015,106.72563865558931,10.83515558616549
0,106.72438320044252,10.834844792333321,106.72514085814838,10.835971999966944
0,106.72415209966012,10.832590214530777,106.72518655521152,10.833494899728828
0,106.72398452662075,10.831378817042413,106.72531800038682,10.832590214530777
0,106.72411511634022,10.833476912887303,106.72552049986656,10.834272344962656
1,106.72352210035334,10.835652770834285,106.72648246969275,10.838554170759155
0,106.72555739958625,10.835652770834285,106.72648246969275,10.837271600160081
0,106.72352210035334,10.837067900005952,106.7257216996196,10.838554170759155
0,106.72519259992717,10.835698699919739,106.72563320002826,10.837062700058748
0,106.72355439961812,10.835879299624253,106.72554330003692,10.837114467183968
1,106.72236061195873,10.829168902786911,106.7293898005428,10.833106531169387
0,106.72674345111379,10.829980699669981,106.72841320022123,10.831676267859958
0,106.72489564159015,10.829210839194845,106.72654021334336,10.830758499652653
0,106.7279843998457,10.829199200017987,106.7293898005428,10.832371377096338
0,106.72695940042532,10.829403499686496,106.72833649996183,10.829980699669981
0,106.72640196901648,10.829601299715554,106.72722369332034,10.83137849073705
0,106.72596382318851,10.830758499652653,106.72665722403,10.83148784614301
0,106.72462072716185,10.830300748907506,106.72617792021116,10.831339624079163
0,106.72236061195873,10.829168902786911,106.7270812541624,10.833106531169387
2,106.72176448244736,10.845491667792434,106.73398165323476,10.853582259222538
1,106.72682399999132,10.845549499907996,106.73042163354802,10.849267700416949
0,106.72776573221373,10.848505876436537,106.72886248487279,10.849192388473464
0,106.72959545970605,10.845698988832845,106.73015477570173,10.846661570641524
0,106.72897699967615,10.846634127619096,106.73022799708484,10.847791200038705
0,106.72908879996784,10.848026700102489,106.73042163354802,10.849267700416949
0,106.72877429976361,10.845945075810578,106.7296402698372,10.846634127619096
0,106.72756818721878,10.847639689023973,106.72912480036214,10.848505876436537
0,106.72781792821694,10.846983899556756,106.72903993758023,10.84776673531689
0,106.72780170339189,10.846286400014565,106.72894170016177,10.847078299957326
0,106.72682399999132,10.845549499907996,106.72881149989034,10.846286400014565
1,106.72997077090335,10.848587200357603,106.73398165323476,10.853308400334791
0,106.7320408998042,10.852454900225432,106.73272910003426,10.853308400334791
0,106.73106350016741,10.851812099790186,106.73199799987167,10.853102899969477
0,106.7308268001718,10.849635200188686,106.73238960020556,10.850489699700454
0,106.73182870950995,10.85032359994754,106.73398165323476,10.85259329996025
0,106.7308272920824,10.848587200357603,106.73176269974932,10.849635200188686
0,106.73020300020679,10.851229497706658,106.73106350016741,10.852562899786184
0,106.73006896887718,10.850220999627345,106.73198365960646,10.851229497706658
0,106.72997077090335,10.849204499750176,106.7308393000371,10.850073800279514
1,106.72650220041317,10.848781354037314,106.73048199978459,10.853582259222538
0,106.72931939973934,10.849450482112058,106.73026530042563,10.85061569981647
0,106.72707890010679,10.851386699706675,106.72777570042523,10.852821000279347
0,106.72890280014089,10.85061569981647,106.73048199978459,10.851833300030085
0,106.72872299899863,10.85167269998746,106.7303054999776,10.853001299883804
0,106.72858209977461,10.849267700416949,106.72934390014092,10.850441943491777
0,106.72697633398293,10.85053723791464,106.72893489984214,10.851534299621651
0,106.72788722489936,10.849192388473464,106.72871057409472,10.85055380012136
0,106.72733627316335,10.851534299621651,106.72890819989023,10.853582259222538
0,106.72663530008685,10.848781354037314,106.72805356726434,10.850083300431995
0,106.72650220041317,10.850067199698312,106.72733627316335,10.853582259222538
1,106.72359689982882,10.849169499959999,106.72663530008685,10.852749200240803
0,106.725488299773,10.851274700182037,106.72623870043327,10.852230899956268
0,106.72359689982882,10.849876200145285,106.72497330038932,10.850338968701173
0,106.72604550005504,10.849169499959999,106.72663530008685,10.85044929965448
0,106.72409790025004,10.851652000278953,106.72522880003014,10.852749200240803
0,106.72359689982882,10.850101699947954,106.72514499955153,10.851698199810809
0,106.72514499955153,10.851338700335868,106.72567889958691,10.852461399755402
0,106.72492356160801,10.850338899893815,106.72658659134767,10.851338700335868
0,106.72381510032666,10.849231580531697,106.72507470032212,10.849898400064601
0,106.72507470032212,10.849287200396166,106.72604550005504,10.850594449443712
1,106.72176448244736,10.845634699774875,106.72659609971268,10.849491500430332
0,106.72569219966702,10.84579988847475,106.72659609971268,10.847530564886545
0,106.72406569988998,10.84567159955966,106.72563179986994,10.847346099691554
0,106.72230179962972,10.84776596058342,106.72350849978446,10.849107799568964
0,106.72316279386821,10.847577899848465,106.72538873445659,10.849491500430332
