level,minx,miny,maxx,maxy
4,106.70927582500008,10.821438823000051,106.73930476000004,10.850754799000072
3,106.73039379300008,10.834134988000073,106.73930476000004,10.844504868000058
2,106.73536350100005,10.838658721000058,106.73886577100006,10.844504868000058
1,106.73696378600005,10.843235725000056,106.73881680500006,10.844504868000058
0,106.73747480400004,10.84332177500005,106.73783680700006,10.844073732000027
0,106.73727480800005,10.843598482000061,106.73746417800004,10.84407285900005
0,106.73711020400003,10.843596734000073,106.73728982400007,10.844055190000063
0,106.73707681000008,10.844054692000043,106.73767580900005,10.844500696000068
0,106.73775138100007,10.843615728000032,106.73869841400005,10.844066731000055
0,106.73696378600005,10.843817999000066,106.73710003000008,10.844155734000026
0,106.73737967400007,10.844077452000022,106.73881680500006,10.844504868000058
0,106.73789480100004,10.843235725000056,106.73857380000004,10.843601728000067
1,106.73538679600006,10.840436737000061,106.73637679900008,10.842546742000025
0,106.73558579400009,10.840767739000057,106.73607379200007,10.841130743000065
0,106.73574779200004,10.840436737000061,106.73618779100008,10.840767742000025
0,106.73539479400006,10.84108374300007,106.73600879300005,10.842546742000025
0,106.73590880100005,10.84097674000003,106.73637679900008,10.842522637000059
0,106.73538679600006,10.84086674300005,106.73551379400004,10.840984743000035
0,106.73548979400005,10.840836742000022,106.73560079400005,10.84109174100007
0,106.73605479000008,10.84075673700005,106.73621779400008,10.841001738000045
0,106.73539179200009,10.840560743000026,106.73561579200003,10.840799744000037
0,106.73561279000006,10.840538742000035,106.73577179100005,10.840779742000052
1,106.73622379100004,10.840676734000056,106.73695379700007,10.84250873600007
0,106.73645379000004,10.84077973500007,106.73691079000008,10.841173737000076
0,106.73656479800007,10.841798736000044,106.73695379700007,10.84250873600007
0,106.73655179500008,10.841489735000039,106.73694679600004,10.841897374000041
0,106.73650679500008,10.841299913000057,106.73686179200007,10.841579737000075
0,106.73622979300006,10.840904739000052,106.73636479300006,10.841065738000054
0,106.73622379100004,10.840741738000077,106.73650279000009,10.841177738000056
0,106.73648778900008,10.840676734000056,106.73685379000005,10.84085073600005
1,106.73678178300008,10.838658721000058,106.73886577100006,10.84249173400002
0,106.73691979300008,10.84164673400005,106.73733079600004,10.841876734000039
0,106.73791878200007,10.838658721000058,106.73886577100006,10.840888130000053
0,106.73738465400004,10.842006727000069,106.73828779600007,10.842464732000053
0,106.73704678300004,10.839679732000036,106.73803978500007,10.840901728000063
0,106.73685779700008,10.841843733000076,106.73738379700006,10.84249173400002
0,106.73735579500004,10.841635537000059,106.73829505600008,10.842057729000032
0,106.73728579300007,10.841084404000071,106.73834392600008,10.841674732000058
0,106.73684519600005,10.841326196000068,106.73727779300003,10.841691734000051
0,106.73678178300008,10.839613733000022,106.73727778300008,10.84094073500006
1,106.73669080000008,10.84239672700005,106.73858380200005,10.843602731000033
0,106.73703177300007,10.842694186000074,106.73751375700004,10.843043899000065
0,106.73671046800007,10.84288771200005,106.73701475100006,10.843317738000053
0,106.73747983400006,10.843073731000061,106.73788716500007,10.843331684000077
0,106.73735610000006,10.843081626000071,106.73755969700005,10.843412244000035
0,106.73692980700008,10.84307373400003,106.73738908900003,10.843599735000055
0,106.73772398600005,10.84304372500003,106.73858380200005,10.843602731000033
0,106.73745579900009,10.84239672700005,106.73843928900004,10.843035732000033
0,106.73702112600006,10.842462733000048,106.73749111200004,10.842718833000049
0,106.73669080000008,10.842520671000045,106.73700725200007,10.842932774000076
